participant,Age*,Gender*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,stim_sp_0,stim_sp_1,stim_sp_2,mouse_response_2.x,mouse_response_2.y,mouse_response_2.leftButton,mouse_response_2.midButton,mouse_response_2.rightButton,mouse_response_2.time,key_resp_4.keys,key_resp_4.rt,block_num,stimWord_0,stimWord_1,stimWord_2,stimWord_3,recall_cue_loop.thisRepN,recall_cue_loop.thisTrialN,recall_cue_loop.thisN,recall_cue_loop.thisIndex,recall_cue_loop.ran,respWord_0,respWord_1,respWord_2,respWord_3,correct_words_loop.thisRepN,correct_words_loop.thisTrialN,correct_words_loop.thisN,correct_words_loop.thisIndex,correct_words_loop.ran,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,cond,stim_sp_3,mouse_response.x,mouse_response.y,mouse_response.leftButton,mouse_response.midButton,mouse_response.rightButton,mouse_response.time,resp_sp_0,resp_sp_1,resp_sp_2,resp_sp_3,rest_time_block5.keys,stimWord_4,respWord_4,stim_sp_4,resp_sp_4,stimWord_5,respWord_5,stim_sp_5,resp_sp_5,change_block.thisRepN,change_block.thisTrialN,change_block.thisN,change_block.thisIndex,change_block.ran,change_block.order,trials_loop.order
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,silk,slap,deed,wage,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,pile,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,excel_files/ll_5/even_31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,tick,dent,warn,mist,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,stir,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,tick,dent,warn,mist,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,stir,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,excel_files/ll_5/odd_31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,r1_c5,r3_c5,r1_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,spatial.xlsx,r3_c3,"[0.3870127475435575,0.35342580340863045,-0.36347207142043153,-0.03161175942691451,-0.21346808484539606]","[0.27608387358184766,-0.04427566404667241,0.25174370615756686,-0.05540389643689222,-0.2378607800945857]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.14840000000594955,0.7181999999880873,1.2975000000000136,1.8804999999999836,2.2657999999820504]",r1_c5_2,r3_c5_2,r1_c1_2,r3_c3_2,,,,r4_c2,r4_c2_2,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,r2_c3,r4_c5,r4_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,spatial.xlsx,r2_c5,"[-0.031229918741136547,0.3902885647221941,-0.35165291512611424,0.38650260443045986,-0.11876293905743517]","[0.04824789532579518,-0.29478397709430715,-0.31421670032668153,0.040269007752355146,-0.10897525434942261]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.38129999998204767,1.0317999999821268,1.6504999999999654,2.2168999999761354,2.7816999999880636]",r2_c3_2,r4_c5_2,r4_c1_2,r2_c5_2,,,,r3_c2,r3_c2_2,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,bolt,pile,lump,wage,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,fold,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,bolt,pile,lump,wage,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,fold,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,excel_files/ll_5/even_62.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb_earlgrey,26,Male,2023-04-18_14h30.48.892,spatial_word_isr,2022.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,oath,stir,bind,mist,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,wipe,,,,,,,,,,,,,,
